Vetted_address,PWSID,geometry,GEOID,NAME,Race.estimate.total,B02001_001M,Race.white.alone,B02001_002M,Race.black.alone,B02001_003M,Race.native.alone,B02001_004M,Race.asian.alone,B02001_005M,Race.PI.alone,B02001_006M,Race.someother.alone,B02001_007M,Race.twoplus,B02001_008M,Median.hh.income,B19013_001M,Tenure.estimate.total,B25003_001M,Tenure.owner,B25003_002M,Tenure.renter,B25003_003M
150 SILVERADO TRAIL NAPA CA 94558,CA2800548,"c(-122.2728878, 38.2890924)",06055200301,"Census Tract 2003.01, Napa County, California",6153,654,4451,682,0,19,48,77,208,106,0,19,1101,453,345,185,80909,12193,1896,189,945,159,951,155
1601 Silverado Trail ST HELENA CA 94574,CA2801045,"c(-122.4103178, 38.4892757)",06055201500,"Census Tract 2015, Napa County, California",1899,349,1628,318,2,6,5,9,32,25,0,13,213,120,19,22,111766,14517,741,141,533,93,208,91
12515 COMBIE RD AUBURN CA 95603,CA2900540,"c(-121.0625332, 39.0213649)",06057000106,"Census Tract 1.06, Nevada County, California",1934,477,1898,479,0,13,0,13,21,35,0,13,0,13,15,25,88182,23418,642,194,615,188,27,35
17530 Lake Vera-Purdon Rd NEVADA CITY CA 95959,CA2902376,"c(-121.0342651, 39.3015087)",06057000801,"Census Tract 8.01, Nevada County, California",5659,631,5111,576,44,29,0,19,168,137,0,19,71,75,265,130,66875,33362,2162,275,1726,247,436,193
12800 Interstate 80 TRUCKEE CA 96161,CA2905004,"c(-120.131341, 39.3620534)",06057001205,"Census Tract 12.05, Nevada County, California",5214,561,5047,543,0,19,11,17,88,98,0,19,0,19,68,66,109063,6377,1773,208,1606,210,167,68
13118 SARGENT JACOBS DRIVE NEVADA CITY CA 95959,CA2910007,"c(-120.9089407, 39.2639831)",06057000701,"Census Tract 7.01, Nevada County, California",7257,754,6757,696,0,19,117,88,20,32,0,19,14,31,349,179,83250,16120,2896,241,2509,271,387,131
28436 Airoso St. Ladera Ranch CA 92694,CA3000852,"c(-117.596468, 33.5470406)",06059032066,"Census Tract 320.66, Orange County, California",5448,797,3896,775,111,143,0,19,801,612,0,19,25,40,615,388,147742,33022,2010,222,1462,218,548,130
35005 Beach Rd. Dana Point CA 92624,CA3010055,"c(-117.6612732, 33.4514982)",06059042201,"Census Tract 422.01, Orange County, California",5014,855,4043,727,70,70,0,19,89,79,23,36,504,394,285,241,92092,15498,2148,260,1521,230,627,202
500 CAMERON STREET PLACENTIA CA 92870,CA3010070,"c(-117.8693749, 33.8682905)",06059011722,"Census Tract 117.22, Orange County, California",2274,326,1332,256,75,94,21,30,378,161,0,13,221,111,247,180,55909,17450,1086,142,650,145,436,110
740 Timberland Ln. Tahoe City CA 96145,CA3100029,"c(-120.165335, 39.1296325)",06061022100,"Census Tract 221, Placer County, California",815,356,733,357,0,13,22,34,39,55,0,13,0,13,21,30,85809,41952,309,97,285,91,24,32
8401 Boulder Creek Pl. Penryn CA 95663,CA3103257,"c(-121.1667594, 38.833701)",06061020608,"Census Tract 206.08, Placer County, California",4272,731,3279,565,99,103,73,90,132,182,16,24,3,7,670,414,171200,30731,1452,212,1232,199,220,140
1588 LISA DRIVE NEWCASTLE CA 95658,CA3110033,"c(-121.133091, 38.8596134)",06061020502,"Census Tract 205.02, Placer County, California",4662,499,4274,500,40,42,0,13,58,42,63,74,99,94,128,105,110385,16378,1762,186,1615,188,147,69
179 Rogers Avenue QUINCY CA 95971,CA3210008,"c(-120.9106894, 39.9381114)",06063000100,"Census Tract 1, Plumas County, California",5509,643,4619,570,274,215,67,54,37,33,0,19,249,215,263,160,60833,12800,1996,195,1072,181,924,217
81450 Palo Verde Dr. N Indio CA 92201,CA3301046,"c(-116.243958, 33.7212834)",06065045217,"Census Tract 452.17, Riverside County, California",7986,1313,3410,898,581,706,0,19,40,54,0,19,3217,763,738,698,47429,8677,2499,269,2072,286,427,164
82225 AIRPORT BLVD THERMAL CA 92274,CA3301153,"c(-116.2311538, 33.640992)",06065045615,"Census Tract 456.15, Riverside County, California",2636,750,1202,596,0,13,0,13,0,13,0,13,1175,415,259,346,33542,19871,1048,282,891,284,157,83
10805 PALM DRIVE DESERT HOT SPRINGS CA 92240,CA3301206,"c(-116.5017441, 33.9701063)",06065044518,"Census Tract 445.18, Riverside County, California",6003,940,4038,906,634,277,13,21,132,94,48,59,285,183,853,519,57012,14517,2130,259,1446,241,684,205
83355 AVE 55 THERMAL CA 92274,CA3301276,"c(-116.180822, 33.6489357)",06065045615,"Census Tract 456.15, Riverside County, California",2636,750,1202,596,0,13,0,13,0,13,0,13,1175,415,259,346,33542,19871,1048,282,891,284,157,83
58075 Jefferson St. La Quinta CA 92253,CA3301566,"c(-116.2682423, 33.611913)",06065044403,"Census Tract 444.03, Riverside County, California",4529,1397,2548,584,48,47,163,81,259,261,0,13,962,602,549,525,47065,15396,1520,251,1186,223,334,128
43-778 E. Circle Dr. Indio 92201,CA3301735,"c(-116.21175, 33.7309273)",06065045303,"Census Tract 453.03, Riverside County, California",1999,340,668,238,7,10,0,13,95,82,0,13,1103,321,126,127,22813,3441,843,121,434,111,409,94
81800 51st Ave. Indio 92201,CA3302027,"c(-116.2371522, 33.6784239)",06065045606,"Census Tract 456.06, Riverside County, California",2616,392,2005,374,39,58,0,13,47,32,0,13,452,183,73,68,76094,29158,1466,231,1204,217,262,115
"25898 Bundy Canyon Rd, Menifee, CA",CA3302093,"c(-117.2051413, 33.6415499)",06065043279,"Census Tract 432.79, Riverside County, California",5195,551,4324,519,18,31,53,52,93,70,0,19,465,289,242,190,72348,24320,1596,198,1384,210,212,86
1001 El Cielo Rd. Palm Springs CA 92264,CA3303012,"c(-116.5115588, 33.8081197)",06065940700,"Census Tract 9407, Riverside County, California",3066,258,2643,236,54,33,26,21,129,51,18,14,73,27,123,94,65000,5961,1584,116,1000,85,584,74
52500 Temecula Rd. Idyllwild-Pine Cove CA 92549,CA3303081,"c(-116.7468366, 33.7337283)",06065044404,"Census Tract 444.04, Riverside County, California",1749,546,1139,326,95,95,6,11,128,98,0,13,369,477,12,19,62450,34461,630,118,435,104,195,77
81400 Ave. 52 Indio CA 92201,CA3303085,"c(-116.2442176, 33.6737496)",06065045606,"Census Tract 456.06, Riverside County, California",2616,392,2005,374,39,58,0,13,47,32,0,13,452,183,73,68,76094,29158,1466,231,1204,217,262,115
68555 POLK ST THERMAL CA 92274,CA3303100,"c(-116.1523987, 33.5493361)",06065045619,"Census Tract 456.19, Riverside County, California",3305,900,866,468,0,13,21,28,62,69,0,13,2309,844,47,50,20660,3918,1229,232,1008,244,221,125
28755 El Toro Rd. Lake Elsinore CA 92532,CA3310015,"c(-117.3478625, 33.7032046)",06065043005,"Census Tract 430.05, Riverside County, California",5556,648,2522,533,317,241,0,19,122,103,0,19,2167,614,428,263,63636,8612,1542,169,887,206,655,142
10299 McCracken Dr. Rancho Cordova CA 95670,CA3400140,"c(-121.3080902, 38.5857696)",06067009008,"Census Tract 90.08, Sacramento County, California",5625,785,3303,684,638,269,0,19,572,451,0,19,817,341,295,129,60217,10337,1800,162,922,159,878,161
6125 Stockton Blvd. Sacramento CA 95824,CA3400198,"c(-121.4358194, 38.514494)",06067003202,"Census Tract 32.02, Sacramento County, California",4832,528,1478,277,154,99,29,27,1524,274,0,13,1067,454,580,191,42219,9851,1613,191,766,138,847,194
8865 ELK GROVE BLVD ELK GROVE CA 95624,CA3400249,"c(-121.3731924, 38.4096684)",06067009308,"Census Tract 93.08, Sacramento County, California",6973,1556,5044,1481,216,164,176,189,580,300,0,19,357,330,600,302,78868,8719,2442,403,1813,321,629,298
100 Oxbow Marina Dr. Isleton CA 95641,CA3400332,"c(-121.589958, 38.150015)",06067009800,"Census Tract 98, Sacramento County, California",1476,219,1268,195,8,13,12,13,39,32,0,13,57,52,92,53,39750,6546,759,105,585,104,174,49
5800 Stockton Blvd. Sacramento CA 95827,CA3400352,"c(-121.4414507, 38.521592)",06067004603,"Census Tract 46.03, Sacramento County, California",2675,906,753,255,183,210,21,36,830,642,0,13,286,191,602,689,39790,5100,1012,194,417,143,595,210
4855 Hamilton St. Sacramento CA 95841,CA3400359,"c(-121.3648652, 38.6530776)",06067007504,"Census Tract 75.04, Sacramento County, California",1895,242,1469,202,97,57,13,30,90,49,0,13,108,90,118,72,51528,9795,737,72,370,67,367,66
7676 BRADSHAW RD SACRAMENTO CA 95829,CA3400412,"c(-121.3355329, 38.4793433)",06067009311,"Census Tract 93.11, Sacramento County, California",6316,923,2552,517,651,232,0,19,2004,708,255,253,270,193,584,279,79489,8525,2000,219,1467,180,533,204
3450 LONGVIEW DR SACRAMENTO CA 95821,CA3400468,"c(-121.3869152, 38.6392338)",06067007413,"Census Tract 74.13, Sacramento County, California",6255,970,4448,977,728,347,0,19,659,385,0,19,118,156,302,234,39968,15045,2051,223,859,232,1192,212
411 MCCLOSKEY RD HOLLISTER CA 95023,CA3500526,"c(-121.3936699, 36.8687387)",06069000100,"Census Tract 1, San Benito County, California",4923,549,3415,375,167,155,138,187,99,73,18,16,278,152,808,445,109773,16808,1520,128,1050,158,470,118
37600 Hinkley Rd. Hinkley CA 92347,CA3600125,"c(-117.1867485, 34.9345623)",06071011900,"Census Tract 119, San Bernardino County, California",2284,404,1776,401,124,175,79,69,44,32,0,13,121,114,140,117,53173,10273,819,139,482,111,337,120
1 Union Pacific Rd. Yermo CA 92398,CA3600316,"c(-116.8202657, 34.9028757)",06071011602,"Census Tract 116.02, San Bernardino County, California",1902,664,1685,603,0,13,0,13,136,217,0,13,0,13,81,89,57097,30917,881,365,479,221,402,290
51063 29 PALMS HWY MORONGO VALLEY CA 92256,CA3601055,"c(-116.5465857, 34.0690603)",06071010417,"Census Tract 104.17, San Bernardino County, California",2976,516,2444,295,8,14,0,13,21,32,0,13,294,402,209,156,44896,12696,1357,173,1007,156,350,145
8353 N ALABAMA AV REDLANDS CA 92373,CA3601060,"c(-117.2071399, 34.1016461)",06071007604,"Census Tract 76.04, San Bernardino County, California",3972,462,2550,465,258,159,1,4,215,141,67,89,442,250,439,203,68787,5312,1130,110,953,128,177,80
13500 Hamner Ave. Ontario 91761,CA3601094,"c(-117.5586063, 34.0089767)",06071001906,"Census Tract 19.06, San Bernardino County, California",9872,1182,4458,1107,772,327,0,19,1285,339,0,19,1660,737,1697,1221,87550,15478,3038,315,1916,372,1122,208
41972 GARSTIN DRIVE BIG BEAR LAKE CA 92315,CA3610061,"c(-116.8862721, 34.2466237)",06071011203,"Census Tract 112.03, San Bernardino County, California",1542,292,1320,244,4,9,12,15,0,13,0,13,17,21,189,235,50816,8413,606,97,359,91,247,73
"14901 Central Avenue, Chino, CA 91710",CA3610853,"c(-117.6859715, 33.9811158)",06071012202,"Census Tract 122.02, San Bernardino County, California",10299,920,3501,403,1934,249,101,48,381,121,73,47,3193,428,1116,238,NA,NA,0,21,0,21,0,21
12570 Slaughterhouse Canyon Rd. Lakeside CA 92040,CA3705026,"c(-116.9504585, 32.9062474)",06073016901,"Census Tract 169.01, San Diego County, California",7585,1437,6339,1404,226,317,28,36,196,162,68,79,199,138,529,317,86172,21341,2434,276,1981,255,453,172
2189 E Taylor St. Stockton CA 95205,CA3900726,"c(-121.2584563, 37.9509112)",06077001900,"Census Tract 19, San Joaquin County, California",4665,694,2625,596,608,431,0,13,0,13,13,18,922,390,497,424,33836,11790,1451,176,484,137,967,170
16777 S. Howland Rd. Lathrop CA 95330,CA3900810,"c(-121.2759589, 37.808581)",06077005119,"Census Tract 51.19, San Joaquin County, California",8879,917,2744,465,852,245,176,218,3421,607,0,19,908,331,778,384,107535,17146,2063,203,1507,223,556,142
13451 N EXTENSION RD LODI CA 95240,CA3901035,"c(-121.3112243, 38.1004966)",06077004106,"Census Tract 41.06, San Joaquin County, California",1897,355,1436,241,0,13,8,11,174,197,0,13,22,32,257,204,93068,11478,578,70,426,66,152,58
3655 E CHEROKEE RD STOCKTON CA 95205,CA3901330,"c(-121.254492, 37.99175)",06077003601,"Census Tract 36.01, San Joaquin County, California",3068,501,2252,383,16,20,0,13,249,163,43,48,283,217,225,187,52866,7598,1104,94,838,128,266,115
2431 E Mariposa Rd Stockton CA 95205,CA3901334,"c(-121.239114, 37.933807)",06077002100,"Census Tract 21, San Joaquin County, California",5529,804,2727,613,737,246,86,119,473,232,0,19,1487,666,19,33,41638,8317,1557,172,792,169,765,170
2350 N Ocean Ave Cayucos CA 93430,CA4000512,"c(-120.9103945, 35.4493366)",06079010504,"Census Tract 105.04, San Luis Obispo County, California",2228,368,2080,366,0,13,0,13,56,41,0,13,27,34,65,64,70602,14149,1161,201,686,170,475,122
4251 S HIGUERA SAN LUIS OBISPO CA 93401,CA4000711,"c(-120.6763374, 35.2416337)",06079011600,"Census Tract 116, San Luis Obispo County, California",4135,690,3790,671,0,13,0,13,89,77,0,13,67,102,189,145,128194,23988,1759,250,1403,257,356,140
645 TANK FARM ROAD SAN LUIS OBISPO CA 93401,CA4000726,"c(-120.6455267, 35.2461283)",06079011505,"Census Tract 115.05, San Luis Obispo County, California",5055,447,4190,403,99,83,46,44,152,90,7,13,226,107,335,217,104583,12991,1562,180,1100,120,462,155
269 TANK FARM ROAD SAN LUIS OBISPO CA 93401,CA4000728,"c(-120.6647014, 35.2457806)",06079011505,"Census Tract 115.05, San Luis Obispo County, California",5055,447,4190,403,99,83,46,44,152,90,7,13,226,107,335,217,104583,12991,1562,180,1100,120,462,155
3601 Sacramento Dr. San Luis Obispo CA 93401,CA4000743,"c(-120.6424149, 35.2546513)",06079011505,"Census Tract 115.05, San Luis Obispo County, California",5055,447,4190,403,99,83,46,44,152,90,7,13,226,107,335,217,104583,12991,1562,180,1100,120,462,155
"2330 A Street, Suite A SANTA MARIA CA 93455",CA4010040,"c(-120.463576, 34.9188819)",06083002011,"Census Tract 20.11, Santa Barbara County, California",6378,994,4353,793,35,54,22,42,130,97,11,17,631,345,1196,1022,83238,8353,1832,255,1288,242,544,177
5070 Cathedral Oaks Rd. Santa Barbara CA 93111,CA4200647,"c(-119.7987841, 34.452223)",06083002907,"Census Tract 29.07, Santa Barbara County, California",4185,789,3574,810,10,13,0,13,370,222,0,13,44,34,187,114,165286,27207,1448,189,1045,117,403,179
1701 Betteravia Rd. Santa Maria CA 93454,CA4200959,"c(-120.4003803, 34.9240151)",06083002006,"Census Tract 20.06, Santa Barbara County, California",2700,348,2255,345,23,23,25,27,141,70,0,13,179,148,77,48,113824,19060,952,99,724,97,228,66
21401 Prospect Rd. Saratoga CA 95070,CA4300504,"c(-122.047299, 37.2906583)",06085507702,"Census Tract 5077.02, Santa Clara County, California",6993,997,978,247,0,19,0,19,5651,1125,116,175,0,19,248,231,230398,43024,2163,225,1898,200,265,153
441 La Cuesta Dr. Scotts Valley CA 95066,CA4400539,"c(-122.0276063, 37.0383318)",06087120800,"Census Tract 1208, Santa Cruz County, California",5990,706,4994,598,57,81,0,19,283,189,68,105,130,126,458,279,156250,41756,2353,293,1942,260,411,177
11255 LOMPICO ROAD FELTON CA 95018,CA4410015,"c(-122.0479872, 37.1111704)",06087120600,"Census Tract 1206, Santa Cruz County, California",4506,471,3974,443,72,71,0,13,71,44,0,13,135,69,254,174,104052,16323,1812,180,1408,161,404,133
15611 Rock Creek Road SHASTA CA 96087,CA4500001,"c(-122.4811771, 40.6172324)",06089012400,"Census Tract 124, Shasta County, California",3859,475,3502,438,3,4,92,61,36,35,8,16,14,19,204,90,64408,8706,1448,116,1233,120,215,66
44304 A St McArthur CA 96056,CA4500084,"c(-121.3969339, 41.051744)",06089012702,"Census Tract 127.02, Shasta County, California",2461,468,2013,417,9,13,77,98,55,66,0,13,49,61,258,198,50292,9827,1058,214,754,188,304,118
21375 MAIN STREET LAKEHEAD CA 96051,CA4500136,"c(-122.3830404, 40.9062012)",06089012500,"Census Tract 125, Shasta County, California",1531,243,1382,243,10,11,21,19,55,75,0,13,8,7,55,42,49196,12000,731,117,587,113,144,58
2543 CORDELIA RD FAIRFIELD CA 94534-1676,CA4810037,"c(-122.1063135, 38.231285)",06095252305,"Census Tract 2523.05, Solano County, California",5574,622,3240,551,401,123,9,11,1228,350,0,19,341,169,355,198,110068,8140,1938,184,1239,174,699,147
433 Fulton Road SANTA ROSA CA 95401,CA4900676,"c(-122.7710645, 38.4438594)",06097153005,"Census Tract 1530.05, Sonoma County, California",7111,926,5179,695,6,9,0,19,332,131,21,50,949,790,624,285,115330,17777,2375,188,1864,194,511,183
3455 Santa Rosa Avenue SANTA ROSA CA 95407,CA4900786,"c(-122.7149279, 38.3934868)",06097151405,"Census Tract 1514.05, Sonoma County, California",6646,1013,3263,874,409,269,30,50,446,245,2,6,2237,764,259,153,49094,10518,2211,296,977,226,1234,297
3521 Santa Rosa Avenue SANTA ROSA CA 95407,CA4900855,"c(-122.714586, 38.3908595)",06097151405,"Census Tract 1514.05, Sonoma County, California",6646,1013,3263,874,409,269,30,50,446,245,2,6,2237,764,259,153,49094,10518,2211,296,977,226,1234,297
385 Mark West Springs Road SANTA ROSA CA 95404,CA4900890,"c(-122.740282, 38.5021167)",06097152702,"Census Tract 1527.02, Sonoma County, California",4994,771,3563,667,74,43,13,22,186,131,0,13,595,274,563,245,89572,9217,1637,201,864,170,773,120
9580 Sonoma Highway KENWOOD CA 95452,CA4900922,"c(-122.5462232, 38.4140472)",06097150501,"Census Tract 1505.01, Sonoma County, California",2962,929,2745,930,6,14,37,29,105,82,0,13,31,24,38,43,136048,66127,1309,442,1027,420,282,160
3200 Moorland Avenue SANTA ROSA CA 95407,CA4901195,"c(-122.7171449, 38.4002592)",06097153202,"Census Tract 1532.02, Sonoma County, California",4649,817,2228,909,50,90,0,13,36,53,0,13,1527,688,808,774,73250,35081,1408,231,531,167,877,272
5901 Old Redwood Highway SANTA ROSA CA 95403,CA4901311,"c(-122.7782516, 38.5236908)",06097152701,"Census Tract 1527.01, Sonoma County, California",4895,721,3652,640,0,13,32,48,75,72,23,36,708,379,405,243,79052,9935,1815,210,1323,225,492,146
4401 Slusser Road WINDSOR CA 95492,CA4901387,"c(-122.8326455, 38.4988928)",06097153810,"Census Tract 1538.10, Sonoma County, California",3750,410,2906,375,17,29,170,188,88,82,0,13,418,329,151,89,139196,10904,1141,131,766,122,375,135
2455 Frates Road PETALUMA CA 94972,CA4901389,"c(-122.5805514, 38.2500735)",06097150611,"Census Tract 1506.11, Sonoma County, California",4338,706,3364,689,72,78,36,56,191,92,0,13,475,264,200,107,97768,11983,1421,174,858,101,563,184
1078 S Wright Rd. Santa Rosa 95407,CA4901410,"c(-122.7686613, 38.4200192)",06097153301,"Census Tract 1533.01, Sonoma County, California",6834,906,3690,1006,105,79,24,41,331,273,11,23,2191,767,482,322,88818,19536,2054,230,1314,251,740,189
