Vetted_address,PWSID,geometry,GEOID,NAME,Race.estimate.total,B02001_001M,Race.white.alone,B02001_002M,Race.black.alone,B02001_003M,Race.native.alone,B02001_004M,Race.asian.alone,B02001_005M,Race.PI.alone,B02001_006M,Race.someother.alone,B02001_007M,Race.twoplus,B02001_008M,Median.hh.income,B19013_001M,Tenure.estimate.total,B25003_001M,Tenure.owner,B25003_002M,Tenure.renter,B25003_003M
1589 Hampton Way SANTA ROSA CA 95407,CA4901439,"c(-122.7375913, 38.4288492)",06097153104,"Census Tract 1531.04, Sonoma County, California",3666,595,1371,307,31,35,62,83,14,20,0,13,1907,526,281,146,57548,9356,1142,111,369,96,773,123
15000 Arnold Drive ELDRIDGE CA 95431,CA4910202,"c(-122.5177685, 38.3485069)",06097150502,"Census Tract 1505.02, Sonoma County, California",1372,307,1014,258,8,16,15,33,50,45,0,13,284,197,1,2,123500,32764,564,109,396,90,168,101
4812 Esmar Rd Ceres CA 95307,CA5000051,"c(-120.9267211, 37.5677001)",06099003002,"Census Tract 30.02, Stanislaus County, California",7281,1251,5063,903,38,45,71,91,84,78,0,19,1040,448,985,957,52074,9895,2058,280,1142,220,916,264
4920 Faith Home Rd Ceres CA 95307,CA5000057,"c(-120.9201054, 37.5661901)",06099003002,"Census Tract 30.02, Stanislaus County, California",7281,1251,5063,903,38,45,71,91,84,78,0,19,1040,448,985,957,52074,9895,2058,280,1142,220,916,264
2048 E GRAYSON ROAD CERES CA 95307,CA5000077,"c(-120.9577958, 37.5656874)",06099003002,"Census Tract 30.02, Stanislaus County, California",7281,1251,5063,903,38,45,71,91,84,78,0,19,1040,448,985,957,52074,9895,2058,280,1142,220,916,264
5061 Nunes Rd. Turlock CA 95382,CA5000085,"c(-120.9003871, 37.5518177)",06099002901,"Census Tract 29.01, Stanislaus County, California",5125,708,4341,686,2,4,5,7,101,63,0,19,154,83,522,263,72798,10171,1719,170,1140,129,579,105
4124 W BARNHART ROAD TURLOCK CA 95382,CA5000086,"c(-120.8964072, 37.5437528)",06099003603,"Census Tract 36.03, Stanislaus County, California",3867,993,3525,926,0,13,0,13,33,37,0,13,188,221,121,143,49795,28705,1347,327,662,226,685,242
6643 Faith Home Rd Ceres CA 95307,CA5000217,"c(-120.92089, 37.5417268)",06099003603,"Census Tract 36.03, Stanislaus County, California",3867,993,3525,926,0,13,0,13,33,37,0,13,188,221,121,143,49795,28705,1347,327,662,226,685,242
136 WEBER AVE PATTERSON CA 95363,CA5000271,"c(-121.1268496, 37.4750077)",06099003201,"Census Tract 32.01, Stanislaus County, California",4853,622,3600,470,139,134,91,98,32,42,0,13,265,149,726,469,48040,6429,1411,156,813,138,598,128
3461 Roeding Rd Ceres CA 95307,CA5000308,"c(-120.9322329, 37.5880375)",06099003004,"Census Tract 30.04, Stanislaus County, California",3343,1770,2061,970,3,5,29,52,37,48,0,13,666,277,547,669,67067,35890,861,307,627,324,234,70
4043 Crows Landing Rd Modesto CA 95358,CA5000484,"c(-120.9960675, 37.5788452)",06099003100,"Census Tract 31, Stanislaus County, California",4178,830,3351,617,4,7,25,23,293,339,0,13,161,176,344,548,42500,24390,1224,197,468,118,756,221
5837 N GOLDEN STATE BLVD TURLOCK CA 95382,CA5000570,"c(-120.9005329, 37.5460312)",06099003603,"Census Tract 36.03, Stanislaus County, California",3867,993,3525,926,0,13,0,13,33,37,0,13,188,221,121,143,49795,28705,1347,327,662,226,685,242
2620 COLUSA HIGHWAY YUBA CITY CA 95993,CA5100176,"c(-121.6641582, 39.1403464)",06101050501,"Census Tract 505.01, Sutter County, California",6708,466,3273,389,179,139,125,85,2393,422,0,19,125,112,613,334,58864,7934,2126,178,1127,175,999,155
2468 TIERRA BUENA ROAD YUBA CITY CA 95993,CA5105009,"c(-121.6633562, 39.1634025)",06101050601,"Census Tract 506.01, Sutter County, California",5978,653,3782,577,2,4,105,74,1230,453,91,83,495,308,273,234,91514,25426,2037,258,1611,254,426,122
2120 FIG LANE CORNING CA 96021,CA5200516,"c(-122.1966098, 39.9213609)",06103001102,"Census Tract 11.02, Tehama County, California",4492,704,3157,547,46,81,77,98,52,83,0,13,675,459,485,538,46393,24046,1748,284,825,234,923,235
8255 HIGHWAY 99 E LOS MOLINOS CA 96055,CA5200550,"c(-122.1001844, 40.0354856)",06103000900,"Census Tract 9, Tehama County, California",3481,549,2866,448,0,13,20,17,58,57,0,13,176,132,361,267,47065,17682,1288,158,824,122,464,133
25095 TEHAMA VINA ROAD LOS MOLINOS CA 96055,CA5201137,"c(-122.102108, 40.030265)",06103000900,"Census Tract 9, Tehama County, California",3481,549,2866,448,0,13,20,17,58,57,0,13,176,132,361,267,47065,17682,1288,158,824,122,464,133
415 3rd Ave. Lewiston CA 96052,CA5301003,"c(-122.8064394, 40.7013458)",06105000101,"Census Tract 1.01, Trinity County, California",2656,335,2184,301,1,2,214,131,109,108,0,13,71,38,77,88,47817,5254,1186,140,903,126,283,89
7480 AVENUE 308 VISALIA CA 93291,CA5400507,"c(-119.4076498, 36.3497424)",06107000901,"Census Tract 9.01, Tulare County, California",6365,1139,3235,836,22,35,53,81,526,94,14,25,1965,812,550,592,52425,28192,1649,261,1065,177,584,261
612 S CHINOWTH ST VISALIA CA 93277,CA5400570,"c(-119.3348466, 36.3250489)",06107002008,"Census Tract 20.08, Tulare County, California",2908,583,2244,593,110,97,50,65,96,94,0,13,272,182,136,138,34329,6245,1160,166,141,52,1019,167
59 S. INDIANA STREET PORTERVILLE CA 93257,CA5400600,"c(-119.0355595, 36.064872)",06107004103,"Census Tract 41.03, Tulare County, California",4292,549,3502,440,0,13,0,13,178,180,0,13,206,187,406,387,44887,5505,1122,132,491,173,631,180
1935 N. BEVERLY STREET PORTERVILLE CA 93257,CA5400651,"c(-119.049243, 36.1007963)",06107003504,"Census Tract 35.04, Tulare County, California",6361,1202,3567,849,53,93,251,296,243,326,28,60,1215,648,1004,977,52544,18341,1735,344,1187,318,548,174
4856 Avenue 309 Visalia CA 93291,CA5400957,"c(-119.465039, 36.3515489)",06107000901,"Census Tract 9.01, Tulare County, California",6365,1139,3235,836,22,35,53,81,526,94,14,25,1965,812,550,592,52425,28192,1649,261,1065,177,584,261
2400 W. MID VALLEY AVE VISALIA CA 93277,CA5400966,"c(-119.3182964, 36.2906967)",06107002010,"Census Tract 20.10, Tulare County, California",5878,986,3605,676,269,338,193,159,202,168,12,22,807,551,790,814,81354,27659,1881,288,1462,284,419,136
15641 AVE. 384 VISALIA CA 93292,CA5402039,"c(-119.2225208, 36.4858267)",06107000802,"Census Tract 8.02, Tulare County, California",3329,693,2247,711,0,13,7,9,0,13,0,13,814,425,261,215,73750,29383,1041,235,543,162,498,208
38845 MONSON DR DINUBA CA 93618,CA5402043,"c(-119.3400756, 36.4947902)",06107000304,"Census Tract 3.04, Tulare County, California",4021,1115,2937,958,2,11,32,55,73,77,0,13,855,363,122,88,43984,12513,928,129,408,122,520,92
19743 AVE 344 WOODLAKE CA 93286,CA5403010,"c(-119.1308458, 36.413667)",06107000701,"Census Tract 7.01, Tulare County, California",2530,734,1979,700,10,17,29,26,1,5,0,13,424,242,87,73,34276,7320,929,184,440,85,489,175
2393 E. SPRINGVILLE PORTERVILLE CA 93257,CA5403038,"c(-118.9640757, 36.0549124)",06107003902,"Census Tract 39.02, Tulare County, California",5686,1110,4319,1041,0,19,45,44,181,108,13,23,953,490,175,108,31020,19894,1884,474,976,130,908,456
1465 E TYLER AVE LANE PORTERVILLE CA 93257,CA5403149,"c(-118.98476, 36.059385)",06107003902,"Census Tract 39.02, Tulare County, California",5686,1110,4319,1041,0,19,45,44,181,108,13,23,953,490,175,108,31020,19894,1884,474,976,130,908,456
629 E Date Ave Porterville CA 93257,CA5403202,"c(-119.0030962, 36.057946)",06107003904,"Census Tract 39.04, Tulare County, California",3205,669,2127,455,0,13,4,7,21,32,0,13,901,548,152,157,33426,23675,972,144,567,125,405,137
538 W. MATHENY TULARE CA 93274,CA5410033,"c(-119.3552283, 36.1672262)",06107003100,"Census Tract 31, Tulare County, California",3706,441,2667,396,51,55,46,29,0,13,0,13,535,171,407,320,53092,7764,991,104,390,73,601,92
18 Pinecreat Lake Rd Pinecrest CA 95364,CA5500157,"c(-119.9972222, 38.1908333)",06109003103,"Census Tract 31.03, Tuolumne County, California",944,304,871,295,0,13,1,3,50,69,0,13,0,13,22,20,77875,66615,386,124,251,134,135,111
18249 East Telegraph Road SANTA PAULA CA 93060,CA5601206,"c(-119.0509023, 34.3551837)",06111000600,"Census Tract 6, Ventura County, California",5925,717,5011,774,18,22,56,58,19,26,0,19,532,296,289,158,43517,9296,1767,223,443,87,1324,217
999 E GRANT AVE WINTERS CA 95694,CA5700600,"c(-121.9566207, 38.5303849)",06113011301,"Census Tract 113.01, Yolo County, California",2145,446,1928,448,33,53,0,13,128,152,0,13,43,56,13,21,78300,55121,746,139,380,132,366,129
38925 Aspen St Woodland CA 95695,CA5700649,"c(-121.7854544, 38.6926787)",06113011208,"Census Tract 112.08, Yolo County, California",6590,606,4325,581,113,82,0,19,999,416,0,19,620,440,533,268,89960,24237,2042,217,1378,155,664,186
"515 KENTUCKY AVENUE, woodland, CA 95695",CA5700770,"c(-121.7743277, 38.692433)",06113011208,"Census Tract 112.08, Yolo County, California",6590,606,4325,581,113,82,0,19,999,416,0,19,620,440,533,268,89960,24237,2042,217,1378,155,664,186
8471 LA PORTE RD BROWNSVILLE CA 95919,CA5800807,"c(-121.2918274, 39.4545474)",06115041101,"Census Tract 411.01, Yuba County, California",2751,666,2395,662,112,110,51,65,55,89,1,2,6,10,131,101,57694,16341,1196,242,938,235,258,130
701 General Petroleum Ave Kettleman City CA 93239,CA1600048,"c(-119.9614513, 36.0076977)",06031001601,"Census Tract 16.01, Kings County, California",4418,704,2009,475,26,31,840,175,43,54,0,13,1292,632,208,194,49352,13578,1202,258,418,116,784,267
4532 Rinetti Ln La Canada Flintridge CA 91011,CA1910241,"c(-118.1917564, 34.2018843)",06037460502,"Census Tract 4605.02, Los Angeles County, California",4725,705,2652,662,12,20,0,13,1691,467,0,13,91,68,279,139,216750,54342,1400,152,1307,155,93,49
2272 MEADOWBROOK AVENUEMERCED CA 95340,CA2410008,"c(-120.5263579, 37.3210709)",06047000903,"Census Tract 9.03, Merced County, California",5106,794,2700,781,51,53,0,19,1484,519,0,19,596,399,275,140,50625,11021,1358,304,981,325,377,151
4411 47th Ave Sacramento 95824,CA3410023,"c(-121.4547683, 38.5107582)",06067004604,"Census Tract 46.04, Sacramento County, California",5124,710,1162,401,480,248,20,31,1318,395,144,173,1392,831,608,545,44694,12436,1415,160,559,142,856,169
38280 Gleason St Yermo CA 92398,CA3610118,"c(-116.8250265, 34.9054315)",06071011602,"Census Tract 116.02, San Bernardino County, California",1902,664,1685,603,0,13,0,13,136,217,0,13,0,13,81,89,57097,30917,881,365,479,221,402,290
21060 GEYSERVILLE AVENUE GEYSERVILLE CA 95441,CA4910024,"c(-122.904296, 38.707187)",06097154100,"Census Tract 1541, Sonoma County, California",3686,460,3092,380,30,48,56,60,55,30,17,21,234,141,202,95,119464,17493,1392,136,985,131,407,97
600 Simon Way Oxnard CA 93036,CA5610010,"c(-119.1588027, 34.2395077)",06111005006,"Census Tract 50.06, Ventura County, California",2814,492,2353,412,0,13,0,13,15,24,0,13,199,150,247,260,61016,21011,819,161,460,85,359,147
5160 County Road 99W Dunnigan CA 95937,CA5700712,"c(-121.9526437, 38.8642346)",06113011400,"Census Tract 114, Yolo County, California",4167,656,3247,528,92,95,22,34,35,55,0,13,290,316,481,295,57656,18997,1547,215,894,179,653,172
40041 CA 49 Oakhurst CA 93644,CA2010007,"c(-119.6567705, 37.3332583)",06039000103,"Census Tract 1.03, Madera County, California",4272,631,3867,632,38,62,58,68,25,37,0,13,134,145,150,108,57799,12233,1850,265,1253,244,597,186
32281 Front St Raymond CA 93653,CA2010012,"c(-119.9054503, 37.2178906)",06039000109,"Census Tract 1.09, Madera County, California",2210,345,1893,346,0,13,21,24,26,28,5,9,87,59,178,95,56131,26607,927,141,783,147,144,55
46109 Rd 417 Coarsegold CA 93614,CA2010013,"c(-119.7065182, 37.218923)",06039000110,"Census Tract 1.10, Madera County, California",5084,934,4204,868,81,100,161,115,0,19,0,19,107,89,531,212,72322,3669,1934,310,1819,319,115,72
45735 N Oakview Dr Oakhurst CA 93644,CA2010014,"c(-119.7131478, 37.3442312)",06039000103,"Census Tract 1.03, Madera County, California",4272,631,3867,632,38,62,58,68,25,37,0,13,134,145,150,108,57799,12233,1850,265,1253,244,597,186
1172 ICELAND AVENUEVANDENBERG AFB CA 93437,CA4210700,"c(-120.537612, 34.7180102)",06083980200,"Census Tract 9802, Santa Barbara County, California",3646,541,2316,410,399,186,8,12,170,74,14,17,76,49,663,240,67917,11267,1106,176,0,13,1106,176
3151 Inyo Ct Ione CA 95640,CA0310021,"c(-120.9667595, 38.2714325)",06005000304,"Census Tract 3.04, Amador County, California",4536,640,3946,546,7,14,9,33,23,38,0,13,224,232,327,192,78305,9558,1507,212,1182,214,325,91
622 Jemez Trail Yucca Valley CA 92284,CA3610060,"c(-116.4559718, 34.2416971)",06071010435,"Census Tract 104.35, San Bernardino County, California",2264,356,1885,329,35,57,168,133,24,17,0,13,18,27,134,93,33342,5191,1064,136,822,118,242,120
600 EAST A ST DIXON CA 95620,CA4810009,"c(-121.8161806, 38.444992)",06095253402,"Census Tract 2534.02, Solano County, California",8274,759,5156,1036,113,120,0,19,473,374,2,5,1791,660,739,365,72283,10429,2841,354,1652,269,1189,314
36514 Zante Dr Traver CA 93673,CA5400553,"c(-119.4858671, 36.4539547)",06107000302,"Census Tract 3.02, Tulare County, California",3065,378,2128,330,12,15,0,13,26,30,0,13,543,163,356,254,37786,4512,808,73,331,59,477,70
4522 Cedar Ave Orland 95963,CA1100404,"c(-122.2290696, 39.7567389)",06021010200,"Census Tract 102, Glenn County, California",4960,420,4019,499,16,21,147,113,44,50,0,13,549,304,185,87,59100,10693,1772,196,1277,159,495,113
1320 Larkspur Ct Red Bluff CA 96080,CA5200574,"c(-122.2454256, 40.164091)",06103000701,"Census Tract 7.01, Tehama County, California",4034,579,3566,584,7,13,161,115,27,39,0,13,64,66,209,106,27350,7198,1658,224,592,148,1066,220
21760 OTTAWA RD APPLE VALLEY CA 92307,CA3600010,"c(-117.1888647, 34.4938451)",06071009712,"Census Tract 97.12, San Bernardino County, California",5761,651,4410,486,367,173,130,97,203,294,0,19,472,298,179,138,37656,4717,1901,133,1101,153,800,141
401 S Ventura St Ojai CA 93023,CA5610014,"c(-119.2472982, 34.4445956)",06111000902,"Census Tract 9.02, Ventura County, California",2590,459,2296,476,9,10,3,8,111,82,0,13,101,101,70,51,72188,50121,934,119,512,76,422,131
27971 Sloan Canyon Rd Castaic CA 91384,CA1910247,"c(-118.6269268, 34.4958149)",06037920104,"Census Tract 9201.04, Los Angeles County, California",2939,453,2270,410,28,25,91,103,216,156,0,13,136,99,198,112,132738,14499,844,94,766,95,78,43
24500 Main St Santa Clarita CA 91321,CA1910096,"c(-118.5302762, 34.3816163)",06037920341,"Census Tract 9203.41, Los Angeles County, California",3299,474,1845,553,28,36,0,13,137,182,0,13,1124,430,165,166,48721,9156,770,78,95,49,675,85
24500 Main St Santa Clarita CA 91321,CA1910096,"c(-118.5302762, 34.3816163)",06037920341,"Census Tract 9203.41, Los Angeles County, California",3299,474,1845,553,28,36,0,13,137,182,0,13,1124,430,165,166,48721,9156,770,78,95,49,675,85
29156 Lotusgarden Dr Santa Clarita CA 91387,CA1910250,"c(-118.4024242, 34.4346714)",06037910807,"Census Tract 9108.07, Los Angeles County, California",5825,724,4113,535,290,175,44,52,773,500,0,19,291,151,314,135,107386,11446,1783,174,1455,175,328,83
26521 SUMMIT CIRCLES ANTA CLARITA CA 91350,CA1910017,"c(-118.5092265, 34.4131518)",06037920314,"Census Tract 9203.14, Los Angeles County, California",3200,550,2132,363,57,58,32,42,467,406,0,13,271,111,241,125,114205,20033,945,99,648,69,297,88
29753 Bouquet Canyon Rd Santa Clarita CA 91390,CA1910255,"c(-118.4664481, 34.4770367)",06037920020,"Census Tract 9200.20, Los Angeles County, California",5968,667,4635,539,39,40,35,50,413,93,2,4,469,326,375,208,107969,24488,1824,177,1666,147,158,130
24631 AVENUE ROCKEFELLER VALENCIA CA 91355,CA1910240,"c(-118.5643868, 34.4347362)",06037920121,"Census Tract 9201.21, Los Angeles County, California",9385,927,4569,474,799,627,123,112,2603,489,0,19,496,246,795,478,135132,22483,2780,244,2103,239,677,145
25052 Abraham Ave Mi Wuk Village CA 95346,CA5510016,"c(-120.146742, 38.076402)",06109003103,"Census Tract 31.03, Tuolumne County, California",944,304,871,295,0,13,1,3,50,69,0,13,0,13,22,20,77875,66615,386,124,251,134,135,111
13306 4th St Hickman CA 95323,CA5010026,"c(-120.7508472, 37.6195823)",06099002901,"Census Tract 29.01, Stanislaus County, California",5125,708,4341,686,2,4,5,7,101,63,0,19,154,83,522,263,72798,10171,1719,170,1140,129,579,105
690 Airmen Dr Travis AFB CA 94535,CA4810701,"c(-121.9475204, 38.2692539)",06095252802,"Census Tract 2528.02, Solano County, California",805,283,440,192,108,75,0,13,16,26,144,168,28,29,69,57,62031,25367,158,75,0,13,158,75
221 Fairway Dr Tahoe City CA 96145,CA3110043,"c(-120.1483303, 39.1665888)",06061022200,"Census Tract 222, Placer County, California",868,343,845,337,0,13,0,13,3,7,0,13,1,2,19,28,111014,30586,310,103,224,91,86,56
"6998 WESTLAKE BLVD., TAHOMA CA 96142",CA3110013,"c(-120.1285859, 39.0677751)",06061022300,"Census Tract 223, Placer County, California",456,134,434,139,0,13,0,13,22,32,0,13,0,13,0,13,68977,27081,191,51,166,52,25,22
27234 BOUQUET CANYON ROAD SANTA CLARITA CA 91350,CA1910048,"c(-118.5210012, 34.4354444)",06037920013,"Census Tract 9200.13, Los Angeles County, California",6854,885,3829,516,795,880,15,25,1171,171,249,306,528,386,267,124,130026,29192,2093,179,1823,130,270,157
9475 Riverview Ave Los Molinos CA 96055,CA5200657,"c(-122.1085832, 40.0682468)",06103000100,"Census Tract 1, Tehama County, California",5095,583,4636,566,15,21,57,44,42,42,0,19,165,175,180,94,59554,10423,2069,222,1603,231,466,115
43000 Mountain House Rd Old Station 96071,CA4500022,"c(-121.4355678, 40.6716461)",06089012702,"Census Tract 127.02, Shasta County, California",2461,468,2013,417,9,13,77,98,55,66,0,13,49,61,258,198,50292,9827,1058,214,754,188,304,118
24500 Main St Santa Clarita CA 91321,CA1910096,"c(-118.5302762, 34.3816163)",06037920341,"Census Tract 9203.41, Los Angeles County, California",3299,474,1845,553,28,36,0,13,137,182,0,13,1124,430,165,166,48721,9156,770,78,95,49,675,85
24500 Main St Santa Clarita CA 91321,CA1910096,"c(-118.5302762, 34.3816163)",06037920341,"Census Tract 9203.41, Los Angeles County, California",3299,474,1845,553,28,36,0,13,137,182,0,13,1124,430,165,166,48721,9156,770,78,95,49,675,85
